timestamp,open,high,low,close,volume,volume_quote
1612915200.0,2.175,2.7,2.132,2.644,5751396.153,14080688.734923
1613001600.0,2.633,2.85,2.238,2.74,5963379.986,15206410.621611
1613088000.0,2.74,2.918,2.582,2.814,4145461.493,11451523.744411
1613174400.0,2.827,3.439,2.702,3.151,7069756.575,22302218.088566
1613260800.0,3.153,3.379,2.892,3.069,3629527.453,11288752.159572
1613347200.0,3.057,3.085,2.626,2.761,4035786.451,11550224.497771
1613433600.0,2.758,3.296,2.25,2.938,7092796.595,20254587.331593
1613520000.0,2.938,3.736,2.801,3.041,8983790.847,29310830.037026
1613606400.0,3.045,3.371,2.656,3.012,5685204.976,16901829.494252
1613692800.0,3.005,3.478,3.002,3.222,3531005.26,11426654.134993
1613779200.0,3.228,3.282,2.8,3.133,4634061.363,14213654.171405
1613865600.0,3.133,3.49,2.74,2.95,8209879.382,26024791.952972
1613952000.0,2.946,3.167,2.862,2.944,3880051.19,11738521.055149
1614038400.0,2.95,2.957,2.3,2.622,6507208.482,17195778.884538
1614124800.0,2.621,2.683,1.824,2.133,6610951.262,14207187.183024
1614211200.0,2.134,2.48,1.96,2.216,3803828.199,8560870.44808
1614297600.0,2.22,2.424,2.001,2.06,3144426.53,7050324.930126
1614384000.0,2.053,2.325,1.867,2.103,3262354.279,6888767.069485
1614470400.0,2.104,2.388,2.091,2.216,2448618.35,5460788.257776
1614556800.0,2.213,2.264,1.887,2.06,2325257.849,4767032.733696
1614643200.0,2.053,2.275,2.04,2.219,5146425.991,11040061.974932
1614729600.0,2.219,2.35,2.02,2.192,4683604.784,10302254.522543
1614816000.0,2.19,2.335,2.146,2.215,4359220.351,9783971.093793
1614902400.0,2.205,2.4,2.1,2.257,5095923.725,11373807.594193
1614988800.0,2.258,2.62,2.056,2.464,7821899.014,18382786.693828
1615075200.0,2.462,2.65,2.233,2.333,4691284.882,11310048.835263
1615161600.0,2.341,2.542,2.312,2.429,3931352.351,9511979.031426
1615248000.0,2.42,2.598,2.355,2.551,3877133.155,9637611.673957
1615334400.0,2.541,2.822,2.541,2.756,4121309.534,11006634.101148
1615420800.0,2.757,2.82,2.405,2.459,3780749.182,9724878.966725
1615507200.0,2.466,2.64,2.353,2.426,3178915.458,7888716.906184
1615593600.0,2.433,2.778,2.355,2.428,4082400.958,10258247.302107
1615680000.0,2.428,3.063,2.302,2.923,6444773.757,17625130.564563
1615766400.0,2.921,3.073,2.68,2.787,3970906.219,11331927.464434
1615852800.0,2.785,3.49,2.536,3.34,7770097.485,23766742.738106
1615939200.0,3.346,4.198,3.102,3.515,16621222.244,61832876.153213
1616025600.0,3.516,4.13,3.364,3.818,6194233.537,23381756.053371
1616112000.0,3.82,4.057,3.591,3.767,3936768.692,15060003.762812
1616198400.0,3.778,3.879,3.497,3.517,2882237.593,10411635.362795
1616284800.0,3.51,3.659,3.253,3.254,4292022.567,14744656.775397
1616371200.0,3.254,3.42,3.134,3.382,3108613.567,10168337.577155
1616457600.0,3.382,3.727,3.168,3.19,4047742.308,14114376.82487
1616544000.0,3.194,3.457,3.012,3.107,2957549.011,9490307.050934
1616630400.0,3.107,3.5,2.853,2.898,2904402.421,9227378.80317
1616716800.0,2.891,2.964,2.634,2.798,3075249.47,8614684.125353
1616803200.0,2.81,3.097,2.793,3.058,1958094.653,5889840.908551
1616889600.0,3.058,3.933,3.026,3.83,5931132.643,20820045.505475
1616976000.0,3.83,4.0,3.381,3.594,3818085.11,14008202.041749
1617062400.0,3.594,3.8,3.469,3.754,2063899.478,7468922.740385
1617148800.0,3.748,3.925,3.616,3.906,2025137.495,7570100.079227
1617235200.0,3.902,4.166,3.47,4.117,3885047.663,14881264.980611
1617321600.0,4.109,4.789,4.05,4.418,9114015.724,40709005.611863
1617408000.0,4.418,4.506,4.061,4.25,3866288.175,16392574.786243
1617494400.0,4.25,4.95,4.1,4.39,5717963.609,26253994.184851
1617580800.0,4.38,5.133,4.332,5.081,4921215.461,23656913.825171
1617667200.0,5.08,5.409,4.702,4.873,4623075.51,23362720.490249
1617753600.0,4.873,5.123,4.323,4.546,4054049.442,18992618.070441
1617840000.0,4.544,4.849,4.067,4.53,3763347.564,16851980.29477
1617926400.0,4.53,5.179,4.529,4.691,3145881.96,15212676.800321
1618012800.0,4.69,4.867,4.5,4.56,1928480.737,9063986.97068
1618099200.0,4.56,4.819,4.377,4.57,2287687.569,10495481.81739
1618185600.0,4.579,4.732,4.301,4.675,1952050.927,8886352.222183
1618272000.0,4.675,4.711,4.311,4.381,1817957.466,8137369.880634
1618358400.0,4.381,4.8,4.116,4.54,3300296.879,14533530.612029
1618444800.0,4.54,4.756,4.211,4.632,2671001.386,11964759.78422
1618531200.0,4.634,5.078,4.603,4.828,3405543.197,16560197.433489
1618617600.0,4.828,4.886,4.465,4.778,2704823.911,12585557.958087
1618704000.0,4.782,5.13,4.648,4.71,2965416.894,14523095.599806
1618790400.0,4.707,4.745,3.525,3.993,3949666.944,15927995.973399
1618876800.0,3.985,4.25,3.462,3.565,3770993.313,14447611.88335
1618963200.0,3.551,4.193,3.087,3.863,5500839.687,19737186.823953
1619049600.0,3.87,4.218,3.613,3.665,4631856.843,18395043.465452
1619136000.0,3.665,4.159,3.36,3.563,4420209.369,16662117.275423
1619222400.0,3.563,3.668,2.924,3.331,4788035.526,15429222.780269
1619308800.0,3.337,3.366,2.939,2.977,2592999.076,8142900.183224
1619395200.0,2.99,3.358,2.752,3.024,2516074.783,7673897.486114
